价格（￥）,名称,sku,药品通用名,有效期,药品分类,剂型,储存条件,使用剂量,适用症/功能主治,不良反应,儿童用药,老年用药,禁忌,批准文号
￥28.00,史达功 右美沙芬愈创甘油醚糖浆120ML 儿童成人止咳糖浆 感冒咳嗽流感特效I药 上呼吸道感染化痰药,100007004724,右美沙芬愈创甘油醚糖浆,24个月,（非处方药）化学药制剂,糖浆剂,遮光，密封，在阴凉处保存。,未知,用于上呼吸道感染(如普通感冒和流行性感冒)、支气管炎等引起的咳嗽、咳痰,可见头晕、头痛、嗜睡、易激动、嗳气、食欲缺乏、便秘、恶心、皮肤过敏等，停药后上述反应可自行消失。,未知,未知,1.对氢酸右美沙芬或愈创木酚甘油醚过敏者禁用。2.妊娠3个月内妇女禁用。,国药准字H11021837
￥49.00,"
尾崎制药中耳炎药专用滴耳液人用耳聋耳鸣特有效药专用耳鸣贴成功耳聋耳鸣神经性耳朵痒止耳肿痒痛清洁液",100078189126,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知
￥19.80,楚迪 盐酸阿莫罗芬乳膏 0.25%*10g/支/盒脚气药止痒脱皮烂脚丫真菌感染止痒去脚气喷剂脚臭喷雾脚气药.脚臭.脚出汗.水泡,100000569136,盐酸阿莫罗芬乳膏,24,（非处方药）化学药制剂,乳膏剂,避免高温储存（低于30℃),详见说明书。,用于由皮肤真菌引起的皮肤真菌病，如足癣（脚癣，运动员脚），股癣，体癣，皮肤念珠菌病。,详见说明书。,详见说明书。,详见说明书。,详见说明书。,国药准字H20133066
￥35.80, 班赛 过氧苯甲酰凝胶5%（15g：0.75g）* 15g本品适用于寻常痤疮的外用治疗,4408719,过氧苯甲酰凝胶,24,（非处方药）化学药制剂,凝胶剂,密封，在15℃-25℃条件下保存,详见说明书,本品适用于寻常痤疮。,详见说明书,未知,未知,详见说明书,H20140076
￥4.90,悦彤 小儿咽扁颗粒 4g*12袋 用于小儿肺卫热盛所致咳嗽痰盛 口舌糜烂 急性咽炎 急性扁桃体腺,100020972144,小儿咽扁颗粒,36,（非处方药）中成药,颗粒剂,密封,未知,本品用于小儿肺卫热盛所致的喉痹、乳蛾，症见咽喉肿痛、咳嗽痰盛、口舌糜烂；急性咽炎、急性扁桃腺炎见上述证候者。,尚不明确。,未知,未知,糖尿病患儿禁忌,国药准字Z23021992
￥26.50,[索霏] 磷酸奥司他韦胶囊75mg*10粒/盒,100045870249,磷酸奥司他韦胶囊,24,（处方药）化学药制剂,胶囊剂,密封保存。,未知,未知,详见说明书,未知,未知,详见说明书,国药准字H20223500
￥24.00,[希刻劳] 头孢克洛干混悬剂0.125g*6袋/盒,4393768,头孢克洛干混悬剂,30,（处方药）抗生素制剂,其他,遮光，密封，在凉暗（避光并不超过20℃）干燥处保存。,未知,未知,详见说明书。,详见说明书。,详见说明书。,详见说明书。,国药准字H10983028
￥93.00,[金戈伟哥] 枸橼酸西地那非片 100mg*3片/盒,4364703,枸橼酸西地那非片,36,（处方药）化学药制剂,片剂,遮光，密封保存。,未知,未知,常见不良反应：头痛、潮红、消化不良、鼻塞、视觉异常、背部疼痛、头晕和皮疹等。,西地那非不适用于新生儿、儿童。,健康老年志愿者（≥65岁）的西地那非清除率降低。鉴于血药浓度较高可能同时增加疗效和不良事件的发生，故起始剂量以25mg为宜。,由于已知的本品对一氧化氮/cGMP途径的作用，西地那非可增强硝酸酯的降压作用。故服用任何剂型硝酸酯的患者，无论是规律服用或间断服用，均为禁忌症。已知对本品中任何成份过敏的患者禁用。详情见说明书。,国药准字H20173090
￥15.00,立业 盐酸溴己新片 8mg*100片 慢性支气管炎哮喘 粘痰  咳嗽药止咳药,100072387644,盐酸溴己新片,24,（非处方药）化学药制剂,片剂,密封保存,未知,本品主要用于慢性支气管炎等详见说明书,偶有恶心、胃部不适。等详见说明书,详见说明书,详见说明书,尚不明确,国药准字H32023603
￥25.00,仲景 逍遥丸（浓缩丸）280丸/瓶 疏肝健脾 养血调经 用于肝气不舒所致月经不调 胸胁胀痛 头晕目眩 食欲减退,100024422805,逍遥丸（浓缩丸）,60,（非处方药）中成药,丸剂,密封,一次8丸，一日3次。,疏肝健脾，养血调经。详见说明书,尚不明确,未知,未知,尚不明确·,国药准字Z41021831
￥129.00,"
【德国品牌】 Auleset奥乐思特医用痔疮膏痔疮专用非药去肉球凝胶特傚效非药痔疮膏痔根i断去肉球神器可搭治内外混合去疮肉球痔疮肉球肛门瘙痒外...",100086864705,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知
￥22.80,同仁堂 五子衍宗丸60g瓶 补肾益精 肾虚精亏所致 阳痿不育 遗精早泄 腰痛 尿后余沥,100022280736,五子衍宗丸,48,（非处方药）中成药,丸剂,密封,详见说明书,本品用于肾虚精亏所致的阳痿不育、遗精早泄、腰痛、尿后余沥。,尚不明确。,未知,未知,未知,国药准字Z11020188
￥40.00,"
Dr.JYS 湿疹皮肤神经性皮炎癣症痤疮膏口水疹汗泡疹止痒专用去丘疹大腿根特瘙痒专用宝宝成人皮肤有效适用药监备案",100059252226,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知
￥2.00,"
汇仁三珍黑参牡蛎组合装1个药盒",100056845257,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,非食健字
￥37.60,艾丽 奥利司他胶囊 0.12g*7粒*3板 用于肥胖或体重超重患者,2928870,奥利司他胶囊,36,（非处方药）化学药制剂,胶囊剂,密封，在25℃以下保存,详见说明书,用于肥胖或体重超重患者（体重指数≥24）的治疗。,详见说明书,未知,未知,详见说明书,国药准字H20123131
￥39.00,"
【云南本草】妙芝堂 云南本草汗疱疹抑菌膏特傚效非药房手上起小水泡手干脱皮手痒膏湿疹皮炎瘙痒真菌感染",100091269511,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知
￥229.00,[必利劲] 盐酸达泊西汀片30mg*6片/盒,3130265,盐酸达泊西汀片,36,（处方药）化学药制剂,片剂,常温保存。,未知,未知,常见不良反应：头痛、潮红、消化不良、鼻塞、视觉异常、背部疼痛、头晕和皮疹等。,本品不用于18岁以下人群。请置于儿童不易拿到处。,尚未评估本品在65岁及以上患者人群中使用的安全性和疗效，其主要原因为有关本产品在该人群中使用的数据极为有限（参见药代动力学部分）。详见说明书,详见说明书且遵医嘱使用。,H20150563
￥36.00,999 二硫化硒洗剂2.5%*150g 去屑洗发水止痒药用 头皮脂溢性皮炎控油 毛囊炎清洁洗发膏 非酮康唑,100030934976,二硫化硒洗剂,42,（非处方药）化学药制剂,洗剂,密封，在凉暗处（避光并不超过20℃）保存。,详见说明书,本品适用于去头屑、头皮脂溢性皮炎、花斑癣(汗斑)。,偶可引起接触性皮炎，头发或头皮干燥，头发脱色。,未知,未知,详见说明书,国药准字H10890059
￥5.90,[百灵鸟] 牛黄解毒片24片/盒,100007591251,牛黄解毒片,24,（处方药）中成药,片剂,密封,未知,未知,常见不良反应：腹泻、腹痛、恶心、呕吐、口干、胃不适；肝生化指标异常、消化道出血。,详见说明书,详见说明书,尚不明确。,国药准字Z52020124
￥29.90,修正 玉屏风口服液10ml*24支 益气固表止汗表虚不固自汗恶风体虚易感风邪者,100065977914,玉屏风口服液,24,（非处方药）中成药,合剂,"密封,置阴凉(温度不超过20°C)处。",详见说明书,"益气，固表，止汗。用于表虚不固,自汗恶风,面色㿠白,或体虚易感风邪者。",未知,未知,未知,未知,国药准字Z42020096
￥4.50,好医生  复方氨酚烷胺胶囊 12粒 发热退烧药头痛四肢酸痛打喷嚏流鼻涕鼻塞咽痛感冒药,100040709876,复方氨酚烷胺胶囊,36,（非处方药）化学药制剂,胶囊剂,密封，置阴凉干燥处（不超过20℃）。,详情见说明书,适用于缓解普通感冒及流行性感冒。详情见说明书,详情见说明书,详情见说明书,详情见说明书,详情见说明书,国药准字H51023511
￥18.00,OKMAN 艾时达 盐酸达泊西汀片 30mg*3片/盒,100007927435,盐酸达泊西汀片,24,（处方药）化学药制剂,片剂,在30℃以下保存,未知,未知,常见不良反应：头痛、潮红、消化不良、鼻塞、视觉异常、背部疼痛、头晕和皮疹等。,本品不用于18岁以下人群。请置于儿童不易拿到处。,尚未评估本品在65岁及以上患者人群中使用的安全性和疗效，其主要原因为有关本产品在该人群中使用的数据极为有限（参见药代动力学部分）。,详见说明书,国药准字H20203189
￥19.00,"京东国际	
久光制药Hisamitsu日本进口膏药镇痛变形性关节炎50mg活血化瘀风湿疼痛止痛7枚/袋7cm×10cm",100019935090,未知,730天,未知,未知,存放于阴凉干燥处,未知,骨关节炎、肌肉疼痛、外伤肿胀,未知,未知,未知,未知,未知
￥4.50,联环 叶酸片 0.4mg*31片,100069538804,叶酸片,36,（非处方药）化学药制剂,片剂,遮光，密封保存,"预防胎儿先天性神经管畸形：口服，育龄妇女从计划怀孕时起至怀孕后三个月末，一次0.4mg,一日一次。详见说明书且遵医嘱。",1.预防胎儿先天性神经管畸形；2.妊娠期、哺乳期妇女预防用药。,详情见说明书,未知,未知,详情见说明书,国药准字H20044917
￥29.90,西乐葆 塞来昔布胶囊 0.2g*6粒,3767132,塞来昔布胶囊,36,（处方药）化学药制剂,胶囊剂,密闭，25°C以下保存。,未知,未知,详见说明书且遵医嘱,详见说明书且遵医嘱,详见说明书且遵医嘱,详见说明书且遵医嘱,国药准字HJ20140106（原：国药准字J20140072、H20140106、H20140107）
￥46.96,"
疣清宁扁平疣丝状疣专用的药疣体脱落膏扁平疣尖锐湿疣专用扁平疣专用特傚效药品搭咪喹奎莫特5%软膏乳膏 葵花疣清宁【高效型告别疣体】 【拍2发...",10095935196473,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知
￥99.00,999正天丸6g*60袋 疏风活血 养血平肝 通络止痛 用于外感风邪 瘀血阻络 血虚失养 肝阳上亢引起的偏头痛 紧张性头痛 神经性头痛 颈椎病型头痛 经前头痛,100012973484,正天丸,30,（非处方药）中成药,丸剂,密封,详见说明书,偏头痛、紧张性头痛、神经性头痛、颈椎病型头痛等，详见说明书,具体内容详见说明书,未知,未知,对本品及所含成份过敏者禁用,国药准字Z44020711
￥180.00,澳诺 葡萄糖酸钙锌口服溶液 15ml*20支5盒装 葡萄糖酸钙 治疗缺乏钙锌引起的厌食骨发育不全 骨质疏松症 手足抽搐证 佝偻病 非钙铁锌口服液,100010133615,葡萄糖酸钙锌口服溶液,24,（非处方药）化学药制剂,溶液剂,密封，干燥处保存。,口服，婴幼儿一日5-10ml，成人一日20-30ml，分2-3次，饭后服。,本品用于治疗因缺钙、锌引起的疾病，包括骨质疏松，手足抽搐症，骨发育不全，佝偻病，妊娠妇女和哺乳期妇女、绝经期妇女钙的补充，小儿生长发育迟缓，食欲缺乏，厌食症，复发性口腔溃疡以及痤疮等。,"1、可见轻度恶心、呕吐、便秘等反应。
2、长期服用可引起反跳性胃酸分泌增高。",未知,未知,血钙、血锌过高，甲状腺功能亢进患者禁用。,国药准字H20013241
￥22.00,药王孙真人 六味地黄丸(浓缩丸)240丸六位味6味补肾强身固精强肾耳鸣肾虚调理男士肾阴虚非壮阳补肾中药,100011277141,六味地黄丸（浓缩丸）,60,（非处方药）中成药,丸剂,密封。,口服。一次8丸，一日3次。,"滋阴补肾。用于肾阴亏损,头晕耳鸣,腰膝酸软,骨蒸潮热,盗汗遗精。",未知,未知,未知,未知,国药准字Z41020001
￥59.00,"
香港大药房蓝莓叶黄素眼药水抑菌液人工泪液眼疲劳护眼儿童成人滴眼液眼药水疲劳眼干眼涩视力模糊痒痒疲劳学生",100080235014,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知
￥41.00,[帅先（suaix）] 头孢克洛缓释片 0.375g*14片/盒,100077144088,头孢克洛缓释片,24,（处方药）抗生素制剂,片剂,遮光，密封，在凉暗干燥处(避光并不超过20℃）保存,未知,未知,详情见说明书,未知,未知,详情见说明书,国药准字H20020456
￥16.90,硬核医生 甲硝唑凝胶 20克:150毫克*10g/盒 *1盒 用于炎症性丘疹、脓疱疮、酒渣鼻红斑的局部治疗,100053959739,甲硝唑凝胶,24,（非处方药）化学药制剂,凝胶剂,遮光，密封保存。,局部外用。详见说明书。,用于炎症性丘疹， 脓疱疮，酒渣鼻红斑的局部治疗。,偶见皮肤干燥、灼烧感和皮肤刺激等过敏反应。,未知,未知,孕妇及哺乳期妇女禁用。,国药准字H20057598
￥62.00,"
【云南本草】妙芝堂 牛皮癣专用膏药真菌止痒抑菌皮肤顽固牛皮癣银肖屑病专用特傚非药股癣大腿内侧癣立净",100088625111,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知
￥31.00,康王酮康唑洗剂2%*50ml单盒装 用于控油止痒头皮糠疹局部性花斑癣脂溢性皮炎药用 去屑洗发水 非二硫化硒,100006962093,酮康唑洗剂,24,（非处方药）化学药制剂,洗剂,避光、密闭、在25℃以下保存。,详见说明书,用于头皮糠疹（头皮屑）、局部性花斑廯、脂溢性皮炎。,局部使用本品治疗一般耐受性良好。罕见的不良反应有：用药局部皮肤烧灼感、瘙痒、刺激、油腻或干燥，用药局部头发纹理异常，干燥或油腻。有报道对头发受到化学损伤或灰发的病人，使用本品后可能出现头发褪色。此外，偶见过敏应。,未知,未知,尚不明确,国药准字H20000700
￥29.90,999 维生素B6软膏1.2%*20g/盒痤疮痘痘脂溢性皮炎湿疹酒渣鼻皱皮症控油药用乳膏,100064215617,维生素B6软膏,24,（非处方药）化学药制剂,软膏剂,密闭，在凉暗处(避光并不超过20°C)保存。,外用。将药膏涂搽于洗净的患处，一日2-3次。,用于痤疮、酒渣鼻、脂溢性湿疹、皱皮症。,未知,未知,未知,未知,国药准字H44024453
￥6.90,迪康 牙痛药水 5ml/盒 止痛杀菌 防蛀 风火牙痛 牙龈红肿 虫蛀牙痛  神经牙痛,100000237168,牙痛药水,24,（非处方药）中成药,酊剂,密封，置阴凉（不超过20°C）干燥处,详见说明书。,本品用于风火牙痛，牙龈红肿，虫蛀牙痛及一切神经牙痛。,详见说明书,未知,未知,详见说明书,国药准字Z51021337
￥11.89,仁和 维A酸乳膏0.05%*15g*1盒 祛痘膏痤疮去闭口粉刺黑色素改善鸡皮青春痘丘疹脓疱暗疮痘痘药膏祛痘凝胶,100033261290,维A酸乳膏,18,（非处方药）化学药制剂,乳膏剂,遮光，密封，在阴凉处（不超过20°c）保存。,详见说明书。,寻常痤疮、扁平疣、黏膜白斑、毛发红糠疹、毛囊角化病及银屑病的辅助治疗。,常见不良反应：皮肤刺激症状，如灼感、红斑及脱屑。,未知,未知,详见说明书。,国药准字H20083262
￥9.80,紫竹蜂胶口腔膜1厘米*1.3厘米*5片*4袋 清热止痛  用于复发性口疮,2933478,蜂胶口腔膜,36,（非处方药）中成药,膜剂,密封，置阴凉处（不超过20℃）,用时剪下一片直接贴于患处，一日3次：或遵医嘱,清热止痛。复发性口疮。,尚不明确。,未知,未知,尚不明确,国药准字Z20026083
￥47.00,仲景 归脾丸（浓缩丸） 280丸*2瓶益气健脾养血安神失眠多梦头晕心悸脾虚气短,100033004812,归脾丸(浓缩丸),60,（非处方药）中成药,丸剂,密封,详见说明书,本品用于心脾两虚，气短心悸，失眠多梦，头昏头晕、肢倦乏力，食欲不振。,有引起消化道不适及皮疹的病例报告。,未知,未知,尚不明确,国药准字Z41021897
￥12.60,仁和 开塞露（含甘油）20ml*15支 用于成人孕妇儿童老人便秘润肠通便药 含甘油,100027376005,开塞露（含甘油）,24,（非处方药）化学药制剂,溶液剂,避光，密封，在干燥处保存。,将容器顶端盖拨开或将容器顶端刺破、剪开，涂以少许油脂润滑管口，缓慢插入肛门，然后将药液挤入直肠内，成人一次一支或0.5支，儿童一次0.5支。,用于便秘,详见说明书,详见说明书,未知,详见说明书,国药准字H32024644
￥119.00,[希爱力] 他达拉非片10mg*4片/盒,7196212,他达拉非片,36月,（处方药）化学药制剂,片剂,常温（10~30℃）保存。将药品置于儿童触及不到的地方。,未知,未知,详见说明书,详见说明书,详见说明书,详见说明书,H20170283
￥32.00,[杰士邦] 他达拉非片5mg*7片/盒,100036835811,他达拉非片,24,（处方药）化学药制剂,片剂,常温保存,未知,未知,偶见：心肌梗死，心源性猝死，卒中，胸痛，心悸，以及心动过速等。其他：偏头痛，癫痫，以及癫痫发作，短暂性遗忘症，视野缺失，视网膜静脉闭塞，视网膜动脉闭塞。,他达拉非片不用于儿童患者。18岁以下的患者尚未建立安全性和有效性。,65岁及以上的患者服用他达拉非片时出现腹泻的频率更高（2.5%的患者）（见【不良反应】）。无需根据年龄调整剂量。但应考虑某些年龄较大的个体对药物更为敏感（见【药代动力学】）。详见说明书,详见说明书,国药准字H20217130
￥7.50,[万星宁] 盐酸莫西沙星片0.4g*3片/盒,100014246750,盐酸莫西沙星片,36,（处方药）抗生素制剂,片剂,遮光，密封保存。,未知,未知,常见：γ谷氨酰氨转肽酶增高少见：室性心动过速，低血压，水肿，抗生素所致结肠炎(极少病例伴有致命并发症)，各种临床表现的癫痫发作(包括癫痫大发作)，幻觉，肾脏损伤和肾衰(脱水所致，尤其已患肾病老年患者)。具体详见说明书。,儿童和青少年（＜18岁）禁止使用盐酸莫西沙星。尚未确定盐酸莫西沙星在儿童和青少年中的有效性和安全性。,详见说明书,已知对莫西沙星、其他喹诺酮类药物或任何辅料过敏。详见说明书,国药准字H20183096
￥15.00,络泰 乙酰天麻素片 50mg*12片*2板 镇静 安眠 镇痛失眠 神经衰弱及血管性头痛和神经性头痛,100019014195,乙酰天麻素片,36,（非处方药）化学药制剂,片剂,密闭，置室温（10~30℃）干燥处保存。,详见说明书,本品用于镇静、安眠、镇痛。用于失眠、神经衰弱及血管性头痛和神经性头痛等。,个别病人出现恶心、口干、胃部不适等症状，减药或停药后恢复正常。,详见说明书,详见说明书,尚不明确。,国药准字H20013048
￥39.00,[杰士邦] 他达拉非片20mg*2片*2板/盒,100008386431,他达拉非片,36,（处方药）化学药制剂,片剂,常温保存,未知,未知,未知,未知,详见说明书,详见说明书,国药准字H20203174
￥57.00,国风（GuofenG）红源达多糖铁复合物胶囊 0.15g*20粒 治疗单纯性缺铁性贫血,100017450156,多糖铁复合物胶囊,36,（非处方药）化学药制剂,胶囊剂,密封保存,成人一日1次，一次1-2粒。,详见说明书且遵医嘱使用,极少出现胃刺激或便秘。,未知,未知,1.肝肾功能严重损害，尤其是伴有未经治疗的尿路感染者禁用。2.铁负荷过高、血色病或含铁血黄素沉着症患者禁用。3.非缺铁性贫血（如地中海贫血）患者禁用。,国药准字H20030033
￥8.00,维福佳  布洛芬片21片 退烧缓解牙痛偏头痛关节痛肌肉痛神经痛痛经止痛药缓解感冒发热,100051660793,布洛芬片,24,（非处方药）化学药制剂,片剂,密封保存,详情见说明书,用于缓解轻至中度疼痛。详情见说明书,详情见说明书,详情见说明书,详情见说明书,详情见说明书,国药准字H42020606
￥119.00,"
修正妇科凝胶医用型抑菌康凝妇胶私密处霉菌滴虫细菌性阴道炎专用瘙痒糜烂炎症外阴药除异味白带多凝胶4盒装",100043963572,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知
￥44.00,"京东国际	
狮王lion PAIR祛痘膏 消炎淡化痘印消除痤疮粉刺 缓解皮肤炎症 毛囊炎皮肤用药24g日本进口",100006366597,未知,3年,未知,未知,密封阴凉处,未知,祛痘膏,未知,未知,未知,未知,未知
￥68.00,"
北京同仁堂腰椎间盘突出症膏贴 腰酸痛腰骨劳损腰间盘突出腰肌100%特傚专用贴药械6贴/盒",100035494862,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知
￥23.00,"
时珍星膝盖部位型冷敷凝胶喷雾剂膝盖滑膜炎膝关节疼痛药专用半月板损伤关节积液疼痛酸麻肿胀",100068408714,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知
￥72.00,[久悦] 洛索洛芬钠凝胶贴膏100mg 14cm*10cm*3贴,100013822065,洛索洛芬钠凝胶贴膏,30,（处方药）化学药制剂,贴膏剂,遮光，密封，不超过25℃保存,未知,未知,详见说明书且遵医嘱用药,详见说明书且遵医嘱用药,详见说明书且遵医嘱用药,未知,国药准字H20173272
￥79.50,健民便通胶囊0.35g*12粒*4板 健脾益肾 润肠通便 便秘 ,100021494672,便通胶囊,24,（非处方药）中成药,胶囊剂,密封。,详见说明书。,健脾益肾，润肠通便。用于脾肾不足、肠腑气滞所致的便秘，症见：大便秘结或排便乏力、神疲气短、头晕目眩、腰膝酸软等，原发性习惯性便秘、肛周疾患所引起的便秘见以上证候者。,偶见轻度腹痛，腹泻及皮疹。,未知,未知,详见说明书,国药准字Z19990071
￥358.00,养无极 补肺丸40丸 补肺益气化痰清肺咳嗽药中药养肺支气管慢阻肺药,4076405,补肺丸,36,（非处方药）中成药,丸剂,密封,未知,本品用于肺气不足，气短咳喘，咳声低弱，干咳痰粘，咽干舌燥。,详见说明书,未知,未知,外感咳嗽者忌服。,国药准字Z62020558
￥27.00,扬子江 氟康唑片 50mg*12片*2板,100069671181,氟康唑片,24,（处方药）化学药制剂,片剂,30℃以下保存。,未知,未知,详见说明书。,参见【用法用量】特殊人群用药-儿童人群和【药代动力学】儿童药代动力学。,参见【用法用量】特殊人群用药-老年人和【药代动力学】老年人药代动力学。,详见说明书。,国药准字H19990151
￥32.40,3盒装修正 克霉唑乳膏 3%*10g阴道炎妇科炎症外阴瘙痒止痒药真菌感染体股头手足花斑癣念珠菌性甲沟炎,100070736810,克霉唑乳膏,24,（非处方药）化学药制剂,乳膏剂,密封，在凉暗处（避光并不超过20℃）保存。,详见说明书,用于体癣、股癣、手癣、足癣、花斑癣、头癣、以及念珠菌性甲沟炎和念珠菌性外阴道炎。,详情见说明书,未知,未知,详情见说明书,国药准字H36020023
￥29.90,奥泰灵盐酸氨基葡萄糖胶囊0.24g*60粒氨糖用于治疗和预防全身所有部位的骨关节炎,100035492137,盐酸氨基葡萄糖胶囊,36,（非处方药）化学药制剂,胶囊剂,避光，密闭，25°C以下保存。,详见说明书,详见说明书,详见说明书,详见说明书,详见说明书,详见说明书,HC20160008
￥149.00,[爱廷玖] 盐酸达泊西汀片30mg*15片/盒,100025250588,盐酸达泊西汀片,36,（处方药）化学药制剂,片剂,常温保存,未知,未知,常见不良反应：头痛、潮红、消化不良、鼻塞、视觉异常、背部疼痛、头晕和皮疹等。,本品不用于18岁以下人群。请置于儿童不易拿到处。,尚未评估本品在65岁及以上患者人群中使用的安全性和疗效，其主要原因为本产品在该人群中使用的数据极为有限。对使用60mg盐酸达泊西汀的单次给药临床药理学研究的分析表明，健康老年男性与健康青年男性在药代动力学参数(Cmax，AUCinf，Tmax)上没有显著差异。,本品禁止用于已知对盐酸达泊西汀或任何辅料过敏的患者。详见说明书。,国药准字H20203169
￥32.00,仲景 知柏地黄丸(浓缩丸)300丸 滋阴降火 非处方药 阴虚火旺 潮热盗汗 口干咽痛 耳鸣遗精 小便短赤,3546334,知柏地黄丸(浓缩丸),60,（非处方药）中成药,丸剂,密封,口服，一次8丸，一日3次。,本品用于阴虚火旺，潮热盗汗，口干咽痛，耳鸣遗精，小便短赤。,尚不明确。,未知,未知,尚不明确。,国药准字Z41021904
￥148.00,蔓迪生发喷雾米诺地尔酊60ml瓶5%浓度男女防脱白发育发液药洗发水发际线生长快速生发增发凝胶搽剂曼迪,100006487491,米诺地尔酊,36,（非处方药）化学药制剂,酊剂,密封保存,详见说明书,本品适用于治疗男性型脱发和斑秃。,1、临床上常见的不良反应是头皮的轻度皮炎。详见说明书,未知,未知,对米诺地尔或其它任何一种成份过敏者禁用。,国药准字H20010714
￥3.00,白云山 曲咪新乳膏10g （湿疹 皮炎 体癣手足股癣）,3148804,曲咪新乳膏,36,（非处方药）化学药制剂,乳膏剂,密封，在阴凉处（不超过20℃）保存。,未知,本品用于湿疹、接触性皮炎、脂溢性皮炎、神经性皮炎、体癣、股癣以及手足癣等。,"1、偶见过敏反应。
2、可见皮肤烧灼感、瘙痒、针刺感。
3、长期使用可使局部皮肤萎缩、色素沉着、多毛等。",详见说明书。,详见说明书。,尚不明确。,国药准字H44024380
￥78.00,奇正藏药 红景天口服液10ml*8支/盒,100055208220,红景天口服液,24,（处方药）中成药,口服液剂,密封，置阴凉处。,未知,未知,未知,未知,未知,未知,国药准字B20070002
￥25.00,三精 双黄连口服液10ml*10支 疏风解表 清热解毒 风热感冒所致的发热咳嗽咽痛,100011725716,双黄连口服液,24,（非处方药）中成药,合剂,密封，避光，置阴凉处（不超过20℃）。,详见说明书,本品用于外感风热所致的感冒，症见发热、咳嗽、咽痛。,尚不明确,未知,未知,尚不明确。,国药准字Z10920053
￥9.90,百灵鸟 贵州百灵 复方氨酚烷胺胶囊0.4g*12粒/盒  发热头痛 四肢酸痛 打喷嚏流鼻涕鼻塞咽痛,100019568906,复方氨酚烷胺胶囊,36,（非处方药）化学药制剂,胶囊剂,密封。置阴凉干燥处（不超过20℃）。,详见说明书,本品用于缓解普通感冒及流行性感冒引起的发热、头痛、四肢酸痛、打喷嚏、流鼻涕、鼻塞、咽痛等症状，也可用于流行性感冒的预防和治疗。,偶尔有轻度头晕、乏力、恶心、上腹不适、口干、食欲缺乏和皮疹等，可自行恢复。,未知,未知,严重肝肾功能不全者禁用。,国药准字H52020750
￥28.00,"
杞里香 山药片200g 河南焦作垆土怀山药干片淮山药片 无硫熏自然晾晒 可打山药粉红枣枸杞党参煲汤料礼品",100000986130,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知
￥35.20,"
南同四海 党参 甘肃党参片可磨党参粉切片无硫熏党参泡水煲汤食材",100075918465,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知
￥10.00,[葵花] 舒筋活血丸6g*10丸/盒,100022659026,舒筋活血丸,36,（处方药）中成药,丸剂,密闭，防潮。,未知,未知,尚不明确。,未知,未知,尚不明确。,国药准字Z23021504
￥28.20,达克宁酮康唑乳膏15g金达克宁治疗脚气脱皮烂脚丫脚气药止痒脱皮烂脚丫真菌感染止痒脚痒水泡脱皮烂脚丫,2943370,酮康唑乳膏,36,（非处方药）化学药制剂,乳膏剂,密封，不超过25°C保存。,每日1-2次,用于手癣、足癣、体癣、股癣、花斑癣及皮肤念珠菌病。,"1、可见刺痛或其他刺激症状，偶见瘙痒等过敏反应。
2、罕见病例中可出现过敏反应，如灼热感、皮肤刺激、局部湿疹。
3、极罕见病例中可出现过敏反应、皮疹、荨麻疹、瘙痒、皮肤红肿和其他局部皮肤反应。",未知,未知,对酮康唑、咪唑类药物或亚硫酸盐过敏者禁用，对本品任何组分过敏者禁用。,国药准字H20043171
￥4.00,[彼锐] 阿昔洛韦片0.2g*24片/盒,100028145730,阿昔洛韦片,24,（处方药）化学药制剂,片剂,密封（10~30℃）保存。,未知,未知,偶有头晕、头痛、关节痛、恶心、呕吐、腹泻、胃部不适、食欲减退、口渴、白细胞下降、蛋白尿及尿素氨轻度升高、皮肤瘙痒等，长程给药偶见痤疮、失眠、月经紊乱。,2岁以下小儿剂量尚未确定。,由于生理性肾功能的衰退，本品剂量与用药间期需调整。,对本品过敏者禁用。,国药准字H20056067
￥5.80,横峰蛇胆川贝液6支 祛风止咳 除痰散结 用于风热咳嗽痰多气喘胸闷咳痰不爽久咳不止,100011514403,蛇胆川贝液,24,（非处方药）中成药,其他,密封，置阴凉处（不超过20℃）,未知,本品用于风热咳嗽，痰多，气喘，胸闷，咳痰不爽或久咳不止。,尚不明确。,未知,未知,尚不明确,国药准字Z20053821
